Technology	Year	Capacity [kg/yr]	Yield [kg/kg]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]
GH2 Station	2005	365240	1	1	0	0	0	0	1.04	0
GH2 Truck	2005	365240	1	1	0	0	0	0	0.5134	0.00422
GH2 Truck Terminal	2005	245807	1	1	0	0	0	0	4.64	0
GH2 Truck Terminal	2005	491248	1	1	0	0	0	0	3.13	0
GH2 Truck Terminal	2005	737054	1	1	0	0	0	0	2.57	0
GH2 Truck Terminal	2005	982496	1	1	0	0	0	0	2.27	0
GH2 Truck Terminal	2005	1.23E+06	1	1	0	0	0	0	2.08	0
GH2 Truck Terminal	2005	1.47E+06	1	1	0	0	0	0	1.94	0
GH2 Truck Terminal	2005	1.72E+06	1	1	0	0	0	0	1.85	0
GH2 Truck Terminal	2005	1.96E+06	1	1	0	0	0	0	1.77	0
GH2 Truck Terminal	2005	2.21E+06	1	1	0	0	0	0	1.7	0
GH2 Truck Terminal	2005	2456239	1	1	0	0	0	0	1.65	0
GH2 Truck Terminal	2005	4912478	1	1	0	0	0	0	1.71	0
GH2 Truck Terminal	2005	7368717	1	1	0	0	0	0	1.49	0
GH2 Truck Terminal	2005	9824956	1	1	0	0	0	0	1.36	0
GH2 Truck Terminal	2005	12281195	1	1	0	0	0	0	1.27	0
GH2 Truck Terminal	2005	14737434	1	1	0	0	0	0	1.2	0
GH2 Truck Terminal	2005	17193673	1	1	0	0	0	0	1.15	0
GH2 Truck Terminal	2005	19649912	1	1	0	0	0	0	1.11	0
GH2 Truck Terminal	2005	22106151	1	1	0	0	0	0	1.07	0
GH2 Truck Terminal	2005	24562390	1	1	0	0	0	0	1.04	0
GH2 Truck Terminal	2005	27018629	1	1	0	0	0	0	1.02	0
GH2 Truck Terminal	2005	29474868	1	1	0	0	0	0	0.99	0
GH2 Truck Terminal	2005	31931107	1	1	0	0	0	0	0.97	0
GH2 Truck Terminal	2005	34387346	1	1	0	0	0	0	0.96	0
GH2 Truck Terminal	2005	36843585	1	1	0	0	0	0	0.94	0
GH2 Truck Terminal	2005	39299824	1	1	0	0	0	0	0.92	0
GH2 Truck Terminal	2005	41756063	1	1	0	0	0	0	0.91	0
GH2 Truck Terminal	2005	44212302	1	1	0	0	0	0	0.9	0
GH2 Truck Terminal	2005	46668541	1	1	0	0	0	0	0.88	0
GH2 Truck Terminal	2005	49124780	1	1	0	0	0	0	0.87	0
GH2 Truck Terminal	2005	51581019	1	1	0	0	0	0	0.86	0
GH2 Truck Terminal	2005	54037258	1	1	0	0	0	0	0.85	0
GH2 Truck Terminal	2005	56493497	1	1	0	0	0	0	0.84	0
GH2 Truck Terminal	2005	58949736	1	1	0	0	0	0	0.84	0
GH2 Truck Terminal	2005	61405975	1	1	0	0	0	0	0.83	0
GH2 Truck Terminal	2005	63862214	1	1	0	0	0	0	0.82	0
GH2 Truck Terminal	2005	66318453	1	1	0	0	0	0	0.81	0
GH2 Truck Terminal	2005	68774692	1	1	0	0	0	0	0.81	0
GH2 Truck Terminal	2005	71230931	1	1	0	0	0	0	0.8	0
GH2 Truck Terminal	2005	73687170	1	1	0	0	0	0	0.8	0
GH2 Truck Terminal	2005	76143409	1	1	0	0	0	0	0.79	0
GH2 Truck Terminal	2005	78599648	1	1	0	0	0	0	0.79	0
GH2 Truck Terminal	2005	81055887	1	1	0	0	0	0	0.78	0
GH2 Truck Terminal	2005	83512126	1	1	0	0	0	0	0.78	0
GH2 Truck Terminal	2005	85968365	1	1	0	0	0	0	0.77	0
GH2 Truck Terminal	2005	88424604	1	1	0	0	0	0	0.77	0
GH2 Truck Terminal	2005	90880843	1	1	0	0	0	0	0.76	0
GH2 Truck Terminal	2005	95793321	1	1	0	0	0	0	0.76	0
GH2 Truck Terminal	2005	98249560	1	1	0	0	0	0	0.75	0
GH2 Truck Terminal	2005	100705799	1	1	0	0	0	0	0.75	0
GH2 Truck Terminal	2005	103162038	1	1	0	0	0	0	0.74	0
GH2 Truck Terminal	2005	108074516	1	1	0	0	0	0	0.74	0
GH2 Truck Terminal	2005	110530755	1	1	0	0	0	0	0.73	0
GH2 Truck Terminal	2005	115443233	1	1	0	0	0	0	0.73	0
GH2 Truck Terminal	2005	117899472	1	1	0	0	0	0	0.72	0
GH2 Truck Terminal	2005	122811950	1	1	0	0	0	0	0.72	0
GH2 Truck Terminal	2005	125268189	1	1	0	0	0	0	0.88	0
GH2 Truck Terminal	2005	127724428	1	1	0	0	0	0	0.87	0
GH2 Truck Terminal	2005	130180667	1	1	0	0	0	0	0.87	0
GH2 Truck Terminal	2005	132636906	1	1	0	0	0	0	0.86	0
GH2 Truck Terminal	2005	140005623	1	1	0	0	0	0	0.86	0
GH2 Truck Terminal	2005	142461862	1	1	0	0	0	0	0.85	0
GH2 Truck Terminal	2005	147374340	1	1	0	0	0	0	0.85	0
GH2 Truck Terminal	2005	149830579	1	1	0	0	0	0	0.84	0
GH2 Truck Terminal	2005	154743057	1	1	0	0	0	0	0.84	0
GH2 Truck Terminal	2005	157199296	1	1	0	0	0	0	0.83	0
GH2 Truck Terminal	2005	164568013	1	1	0	0	0	0	0.83	0
GH2 Truck Terminal	2005	167024252	1	1	0	0	0	0	0.82	0
GH2 Truck Terminal	2005	174392969	1	1	0	0	0	0	0.82	0
GH2 Truck Terminal	2005	176849208	1	1	0	0	0	0	0.81	0
GH2 Truck Terminal	2005	184217925	1	1	0	0	0	0	0.81	0
GH2 Truck Terminal	2005	186674164	1	1	0	0	0	0	0.8	0
GH2 Truck Terminal	2005	189130403	1	1	0	0	0	0	0.96	0
GH2 Truck Terminal	2005	191586642	1	1	0	0	0	0	0.96	0
GH2 Truck Terminal	2005	194042881	1	1	0	0	0	0	0.95	0
GH2 Truck Terminal	2005	198955359	1	1	0	0	0	0	0.95	0
GH2 Truck Terminal	2005	201411598	1	1	0	0	0	0	0.94	0
GH2 Truck Terminal	2005	208780315	1	1	0	0	0	0	0.94	0
GH2 Truck Terminal	2005	211236554	1	1	0	0	0	0	0.93	0
GH2 Truck Terminal	2005	218605271	1	1	0	0	0	0	0.93	0
GH2 Truck Terminal	2005	221061510	1	1	0	0	0	0	0.92	0
GH2 Truck Terminal	2005	230886466	1	1	0	0	0	0	0.92	0
GH2 Truck Terminal	2005	233342705	1	1	0	0	0	0	0.91	0
GH2 Truck Terminal	2005	240711422	1	1	0	0	0	0	0.91	0
GH2 Truck Terminal	2005	243167661	1	1	0	0	0	0	0.9	0
GH2 Truck Terminal	2005	250536378	1	1	0	0	0	0	0.9	0
