Material	Zone	Year	Price [$/unit]
Coal to Liquids (Industrial) [mmBTU]	East North Central	2014	1.69183
Coal to Liquids (Industrial) [mmBTU]	East North Central	2015	1.71941
Coal to Liquids (Industrial) [mmBTU]	East North Central	2016	1.78378
Coal to Liquids (Industrial) [mmBTU]	East North Central	2017	1.79297
Coal to Liquids (Industrial) [mmBTU]	East North Central	2018	1.79297
Coal to Liquids (Industrial) [mmBTU]	East North Central	2019	1.77458
Coal to Liquids (Industrial) [mmBTU]	East North Central	2020	1.76539
Coal to Liquids (Industrial) [mmBTU]	East North Central	2021	1.72861
Coal to Liquids (Industrial) [mmBTU]	East North Central	2022	1.71941
Coal to Liquids (Industrial) [mmBTU]	East North Central	2023	1.68263
Coal to Liquids (Industrial) [mmBTU]	East North Central	2024	1.67344
Coal to Liquids (Industrial) [mmBTU]	East North Central	2025	1.66424
Coal to Liquids (Industrial) [mmBTU]	East North Central	2026	1.66424
Coal to Liquids (Industrial) [mmBTU]	East North Central	2027	1.66424
Coal to Liquids (Industrial) [mmBTU]	East North Central	2028	1.67344
Coal to Liquids (Industrial) [mmBTU]	East North Central	2029	1.64585
Coal to Liquids (Industrial) [mmBTU]	East North Central	2030	1.65505
Coal to Liquids (Industrial) [mmBTU]	East North Central	2031	1.66424
Coal to Liquids (Industrial) [mmBTU]	East North Central	2032	1.68263
Coal to Liquids (Industrial) [mmBTU]	East North Central	2033	1.67344
Coal to Liquids (Industrial) [mmBTU]	East North Central	2034	1.70102
Coal to Liquids (Industrial) [mmBTU]	East North Central	2035	1.7378
Coal to Liquids (Industrial) [mmBTU]	West North Central	2012	0.956251
Coal to Liquids (Industrial) [mmBTU]	West North Central	2013	0.99303
Coal to Liquids (Industrial) [mmBTU]	West North Central	2014	1.02061
Coal to Liquids (Industrial) [mmBTU]	West North Central	2015	1.01142
Coal to Liquids (Industrial) [mmBTU]	West North Central	2016	1.02061
Coal to Liquids (Industrial) [mmBTU]	West North Central	2017	1.02981
Coal to Liquids (Industrial) [mmBTU]	West North Central	2018	1.039
Coal to Liquids (Industrial) [mmBTU]	West North Central	2019	1.0482
Coal to Liquids (Industrial) [mmBTU]	West North Central	2020	1.05739
Coal to Liquids (Industrial) [mmBTU]	West North Central	2021	1.039
Coal to Liquids (Industrial) [mmBTU]	West North Central	2022	1.039
Coal to Liquids (Industrial) [mmBTU]	West North Central	2023	1.039
Coal to Liquids (Industrial) [mmBTU]	West North Central	2024	1.0482
Coal to Liquids (Industrial) [mmBTU]	West North Central	2025	1.07578
Coal to Liquids (Industrial) [mmBTU]	West North Central	2026	1.07578
Coal to Liquids (Industrial) [mmBTU]	West North Central	2027	1.09417
Coal to Liquids (Industrial) [mmBTU]	West North Central	2028	1.09417
Coal to Liquids (Industrial) [mmBTU]	West North Central	2029	1.11256
Coal to Liquids (Industrial) [mmBTU]	West North Central	2030	1.13095
Coal to Liquids (Industrial) [mmBTU]	West North Central	2031	1.12176
Coal to Liquids (Industrial) [mmBTU]	West North Central	2032	1.14015
Coal to Liquids (Industrial) [mmBTU]	West North Central	2033	1.14015
Coal to Liquids (Industrial) [mmBTU]	West North Central	2034	1.14015
Coal to Liquids (Industrial) [mmBTU]	West North Central	2035	1.14015
Coal to Liquids (Industrial) [mmBTU]	West South Central	2011	1.15853
Coal to Liquids (Industrial) [mmBTU]	West South Central	2012	1.14015
Coal to Liquids (Industrial) [mmBTU]	West South Central	2013	1.16773
Coal to Liquids (Industrial) [mmBTU]	West South Central	2014	1.26887
Coal to Liquids (Industrial) [mmBTU]	West South Central	2015	1.29646
Coal to Liquids (Industrial) [mmBTU]	West South Central	2016	1.37001
Coal to Liquids (Industrial) [mmBTU]	West South Central	2017	1.42518
Coal to Liquids (Industrial) [mmBTU]	West South Central	2018	1.44357
Coal to Liquids (Industrial) [mmBTU]	West South Central	2019	1.44357
Coal to Liquids (Industrial) [mmBTU]	West South Central	2020	1.44357
Coal to Liquids (Industrial) [mmBTU]	West South Central	2021	1.48954
Coal to Liquids (Industrial) [mmBTU]	West South Central	2022	1.48035
Coal to Liquids (Industrial) [mmBTU]	West South Central	2023	1.50793
Coal to Liquids (Industrial) [mmBTU]	West South Central	2024	1.50793
Coal to Liquids (Industrial) [mmBTU]	West South Central	2025	1.52632
Coal to Liquids (Industrial) [mmBTU]	West South Central	2026	1.53552
Coal to Liquids (Industrial) [mmBTU]	West South Central	2027	1.54471
Coal to Liquids (Industrial) [mmBTU]	West South Central	2028	1.55391
Coal to Liquids (Industrial) [mmBTU]	West South Central	2029	1.55391
Coal to Liquids (Industrial) [mmBTU]	West South Central	2030	1.5631
Coal to Liquids (Industrial) [mmBTU]	West South Central	2031	1.5723
