Technology	Year	Capacity [kg/yr]	Yield [kg/kg]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]
Central Biomass Gasification	2005	1397120.0	1	0.6	0	0	4.48909E9	0	0.177905	0
Central Biomass Gasification	2005	139712.0	1	0.6	0	0	1.08823E9	0	0.521748	0
Central Biomass Gasification	2005	2794240.0	1	0.6	0	0	6.96764E9	0	0.15408	0
Central Biomass Gasification	2005	279424.0	1	0.6	0	0	1.65659E9	0	0.337643	0
Central Biomass Gasification	2005	27942.4	1	0.6	0	0	4.20119E8	0	1.91706	0
Central Biomass Gasification	2005	698561.0	1	0.6	0	0	2.91114E9	0	0.220635	0
Central Biomass Gasification	2005	69856.1	1	0.6	0	0	7.18981E8	0	0.877596	0
Central Biomass Gasification	2025	1392820.0	1	0.6	0	0	4.20859E9	0	0.146892	0
Central Biomass Gasification	2025	139282.0	1	0.6	0	0	1.01887E9	0	0.433401	0
Central Biomass Gasification	2025	2785650.0	1	0.6	0	0	6.53273E9	0	0.12653	0
Central Biomass Gasification	2025	278565.0	1	0.6	0	0	1.55202E9	0	0.280742	0
Central Biomass Gasification	2025	27856.5	1	0.6	0	0	3.92081E8	0	1.58171	0
Central Biomass Gasification	2025	696411.0	1	0.6	0	0	2.72874E9	0	0.182985	0
Central Biomass Gasification	2025	69641.1	1	0.6	0	0	6.72465E8	0	0.727085	0
Central Coal Gasification	2005	1277240.0	1	0.6	0	0	8.07752E9	0	0.100258	0
Central Coal Gasification	2005	127724.0	1	0.6	0	0	2.27368E9	0	0.526715	0
Central Coal Gasification	2005	1397120.0	1	0.6	0	0	4.48909E9	0	0.177905	0
Central Coal Gasification	2005	139712.0	1	0.6	0	0	1.08823E9	0	0.521748	0
Central Coal Gasification	2005	2554470.0	1	0.6	0	0	1.21192E10	0	0.0675053	0
Central Coal Gasification	2005	255447.0	1	0.6	0	0	3.27121E9	0	0.30307	0
Central Coal Gasification	2005	2794240.0	1	0.6	0	0	6.96764E9	0	0.15408	0
Central Coal Gasification	2005	279424.0	1	0.6	0	0	1.65659E9	0	0.337643	0
Central Coal Gasification	2005	27942.4	1	0.6	0	0	4.20119E8	0	1.91706	0
Central Coal Gasification	2005	5108940.0	1	0.6	0	0	1.83019E10	0	0.0475515	0
Central Coal Gasification	2005	510894.0	1	0.6	0	0	4.78885E9	0	0.182261	0
Central Coal Gasification	2005	51089.4	1	0.6	0	0	1.45822E9	0	1.15682	0
Central Coal Gasification	2005	698561.0	1	0.6	0	0	2.91114E9	0	0.220635	0
Central Coal Gasification	2005	69856.1	1	0.6	0	0	7.18981E8	0	0.877596	0
Central Coal Gasification	2025	1109150.0	1	0.6	0	0	9.61073E9	0	0.122176	0
Central Coal Gasification	2025	110915.0	1	0.6	0	0	2.44212E9	0	0.667336	0
Central Coal Gasification	2025	1392820.0	1	0.6	0	0	4.20859E9	0	0.146892	0
Central Coal Gasification	2025	139282.0	1	0.6	0	0	1.01887E9	0	0.433401	0
Central Coal Gasification	2025	2218300.0	1	0.6	0	0	1.45379E10	0	0.0811459	0
Central Coal Gasification	2025	221830.0	1	0.6	0	0	3.68372E9	0	0.380209	0
Central Coal Gasification	2025	2785650.0	1	0.6	0	0	6.53273E9	0	0.12653	0
Central Coal Gasification	2025	278565.0	1	0.6	0	0	1.55202E9	0	0.280742	0
Central Coal Gasification	2025	27856.5	1	0.6	0	0	3.92081E8	0	1.58171	0
Central Coal Gasification	2025	4436600.0	1	0.6	0	0	2.19936E10	0	0.0563897	0
Central Coal Gasification	2025	443660.0	1	0.6	0	0	5.56437E9	0	0.225991	0
Central Coal Gasification	2025	44366.0	1	0.6	0	0	1.42336E9	0	1.48031	0
Central Coal Gasification	2025	696411.0	1	0.6	0	0	2.72874E9	0	0.182985	0
Central Coal Gasification	2025	69641.1	1	0.6	0	0	6.72465E8	0	0.727085	0
Central Grid Electrolysis	2005	1014620.0	1	0.6	0	0	6.01479E9	0	0.12271	0
Central Grid Electrolysis	2005	101462.0	1	0.6	0	0	1.33479E9	0	0.279977	0
Central Grid Electrolysis	2005	10146.2	1	0.6	0	0	3.18432E8	0	0.832588	0
Central Grid Electrolysis	2005	1277240.0	1	0.6	0	0	8.07752E9	0	0.100258	0
Central Grid Electrolysis	2005	127724.0	1	0.6	0	0	2.27368E9	0	0.526715	0
Central Grid Electrolysis	2005	1397120.0	1	0.6	0	0	4.48909E9	0	0.177905	0
