Technology	Year	Capacity [kg/yr]	Yield [kg/kg]	Scaling Exponent	Capital Cost [$]	Capital Cost [$/km]	Fixed Operating Cost [$/yr]	Fixed Operating Cost [$/km/yr]	Variable Operating Cost [$/kg]	Variable Operating Cost [$/km/kg]
Large Biogas + Centralized Natural Gas Reforming	2025	682897.0	1	0.6	0	0	2.9843E9	0	0.247262	0
Large Biogas + Centralized Natural Gas Reforming	2025	3414480.0	1	0.6	0	0	1.1515E10	0	0.221236	0
Large Biogas + Centralized Natural Gas Reforming	2025	68289.7	1	0.6	0	0	1.06489E9	0	0.540054	0
Large Biogas + Centralized Natural Gas Reforming	2005	3414480.0	1	0.6	0	0	1.16266E10	0	0.21915	0
Large Biogas + Centralized Natural Gas Reforming	2005	682897.0	1	0.6	0	0	3.23864E9	0	0.248871	0
Large Biogas + Centralized Natural Gas Reforming	2025	6828970.0	1	0.6	0	0	2.21784E10	0	0.217983	0
Large Biogas + Centralized Natural Gas Reforming	2005	6828970.0	1	0.6	0	0	2.21116E10	0	0.215434	0
Large Biogas + Centralized Natural Gas Reforming	2025	341448.0	1	0.6	0	0	1.91796E9	0	0.279794	0
Large Biogas + Centralized Natural Gas Reforming	2025	1707240.0	1	0.6	0	0	6.18332E9	0	0.227742	0
Large Biogas + Centralized Natural Gas Reforming	2025	170724.0	1	0.6	0	0	1.38479E9	0	0.344859	0
Large Biogas + Centralized Natural Gas Reforming	2005	1707240.0	1	0.6	0	0	6.38413E9	0	0.22658	0
Large Biogas + Centralized Natural Gas Reforming	2005	341448.0	1	0.6	0	0	2.19015E9	0	0.286023	0
Large Biogas + Centralized Natural Gas Reforming	2005	68289.7	1	0.6	0	0	1.35135E9	0	0.583236	0
Large Biogas + Centralized Natural Gas Reforming	2005	170724.0	1	0.6	0	0	1.6659E9	0	0.360326	0
Large Biogas + Onsite Natural Gas Reforming	2025	1278.0	1	0.6	0	0	1.6423E7	0	1.10284	0
Large Biogas + Onsite Natural Gas Reforming	2025	682897.0	1	0.6	0	0	2.9843E9	0	0.247262	0
Large Biogas + Onsite Natural Gas Reforming	2025	3414480.0	1	0.6	0	0	1.1515E10	0	0.221236	0
Large Biogas + Onsite Natural Gas Reforming	2025	68289.7	1	0.6	0	0	1.06489E9	0	0.540054	0
Large Biogas + Onsite Natural Gas Reforming	2005	3414480.0	1	0.6	0	0	1.16266E10	0	0.21915	0
Large Biogas + Onsite Natural Gas Reforming	2005	1278.0	1	0.6	0	0	1.7638E7	0	1.04911	0
Large Biogas + Onsite Natural Gas Reforming	2005	682897.0	1	0.6	0	0	3.23864E9	0	0.248871	0
Large Biogas + Onsite Natural Gas Reforming	2025	6828970.0	1	0.6	0	0	2.21784E10	0	0.217983	0
Large Biogas + Onsite Natural Gas Reforming	2005	6828970.0	1	0.6	0	0	2.21116E10	0	0.215434	0
Large Biogas + Onsite Natural Gas Reforming	2025	341448.0	1	0.6	0	0	1.91796E9	0	0.279794	0
Large Biogas + Onsite Natural Gas Reforming	2025	1707240.0	1	0.6	0	0	6.18332E9	0	0.227742	0
Large Biogas + Onsite Natural Gas Reforming	2025	170724.0	1	0.6	0	0	1.38479E9	0	0.344859	0
Large Biogas + Onsite Natural Gas Reforming	2005	1707240.0	1	0.6	0	0	6.38413E9	0	0.22658	0
Large Biogas + Onsite Natural Gas Reforming	2005	341448.0	1	0.6	0	0	2.19015E9	0	0.286023	0
Large Biogas + Onsite Natural Gas Reforming	2005	68289.7	1	0.6	0	0	1.35135E9	0	0.583236	0
Large Biogas + Onsite Natural Gas Reforming	2005	170724.0	1	0.6	0	0	1.6659E9	0	0.360326	0
Medium Biogas + Onsite Natural Gas Reforming	2025	1278.0	1	0.6	0	0	2.0139E7	0	1.28892	0
Medium Biogas + Onsite Natural Gas Reforming	2025	682897.0	1	0.6	0	0	2.9843E9	0	0.247262	0
Medium Biogas + Onsite Natural Gas Reforming	2025	3414480.0	1	0.6	0	0	1.1515E10	0	0.221236	0
Medium Biogas + Onsite Natural Gas Reforming	2025	68289.7	1	0.6	0	0	1.06489E9	0	0.540054	0
Medium Biogas + Onsite Natural Gas Reforming	2005	3414480.0	1	0.6	0	0	1.16266E10	0	0.21915	0
Medium Biogas + Onsite Natural Gas Reforming	2005	1278.0	1	0.6	0	0	2.1354E7	0	1.23519	0
Medium Biogas + Onsite Natural Gas Reforming	2005	682897.0	1	0.6	0	0	3.23864E9	0	0.248871	0
Medium Biogas + Onsite Natural Gas Reforming	2025	6828970.0	1	0.6	0	0	2.21784E10	0	0.217983	0
Medium Biogas + Onsite Natural Gas Reforming	2005	6828970.0	1	0.6	0	0	2.21116E10	0	0.215434	0
Medium Biogas + Onsite Natural Gas Reforming	2025	341448.0	1	0.6	0	0	1.91796E9	0	0.279794	0
Medium Biogas + Onsite Natural Gas Reforming	2025	1707240.0	1	0.6	0	0	6.18332E9	0	0.227742	0
Medium Biogas + Onsite Natural Gas Reforming	2025	170724.0	1	0.6	0	0	1.38479E9	0	0.344859	0
Medium Biogas + Onsite Natural Gas Reforming	2005	1707240.0	1	0.6	0	0	6.38413E9	0	0.22658	0
Medium Biogas + Onsite Natural Gas Reforming	2005	341448.0	1	0.6	0	0	2.19015E9	0	0.286023	0
Medium Biogas + Onsite Natural Gas Reforming	2005	68289.7	1	0.6	0	0	1.35135E9	0	0.583236	0
Medium Biogas + Onsite Natural Gas Reforming	2005	170724.0	1	0.6	0	0	1.6659E9	0	0.360326	0
Small Biogas + Onsite Natural Gas Reforming	2025	1278.0	1	0.6	0	0	4.59004E7	0	2.50047	0
Small Biogas + Onsite Natural Gas Reforming	2025	682897.0	1	0.6	0	0	2.9843E9	0	0.247262	0
Small Biogas + Onsite Natural Gas Reforming	2025	3414480.0	1	0.6	0	0	1.1515E10	0	0.221236	0
Small Biogas + Onsite Natural Gas Reforming	2025	68289.7	1	0.6	0	0	1.06489E9	0	0.540054	0
Small Biogas + Onsite Natural Gas Reforming	2005	3414480.0	1	0.6	0	0	1.16266E10	0	0.21915	0
Small Biogas + Onsite Natural Gas Reforming	2005	1278.0	1	0.6	0	0	4.71154E7	0	2.44674	0
Small Biogas + Onsite Natural Gas Reforming	2005	682897.0	1	0.6	0	0	3.23864E9	0	0.248871	0
Small Biogas + Onsite Natural Gas Reforming	2025	6828970.0	1	0.6	0	0	2.21784E10	0	0.217983	0
Small Biogas + Onsite Natural Gas Reforming	2005	6828970.0	1	0.6	0	0	2.21116E10	0	0.215434	0
Small Biogas + Onsite Natural Gas Reforming	2025	341448.0	1	0.6	0	0	1.91796E9	0	0.279794	0
Small Biogas + Onsite Natural Gas Reforming	2025	1707240.0	1	0.6	0	0	6.18332E9	0	0.227742	0
Small Biogas + Onsite Natural Gas Reforming	2025	170724.0	1	0.6	0	0	1.38479E9	0	0.344859	0
Small Biogas + Onsite Natural Gas Reforming	2005	1707240.0	1	0.6	0	0	6.38413E9	0	0.22658	0
Small Biogas + Onsite Natural Gas Reforming	2005	341448.0	1	0.6	0	0	2.19015E9	0	0.286023	0
Small Biogas + Onsite Natural Gas Reforming	2005	68289.7	1	0.6	0	0	1.35135E9	0	0.583236	0
Small Biogas + Onsite Natural Gas Reforming	2005	170724.0	1	0.6	0	0	1.6659E9	0	0.360326	0
