Technology	Year	Capacity [kg/yr]	On Site?	Lifetime [yr]
Central Biomass Gasification	2005	1397120.0	True	40
Central Biomass Gasification	2005	139712.0	True	40
Central Biomass Gasification	2005	2794240.0	True	40
Central Biomass Gasification	2005	279424.0	True	40
Central Biomass Gasification	2005	27942.4	True	40
Central Biomass Gasification	2005	698561.0	True	40
Central Biomass Gasification	2005	69856.1	True	40
Central Biomass Gasification	2025	1392820.0	True	40
Central Biomass Gasification	2025	139282.0	True	40
Central Biomass Gasification	2025	2785650.0	True	40
Central Biomass Gasification	2025	278565.0	True	40
Central Biomass Gasification	2025	27856.5	True	40
Central Biomass Gasification	2025	696411.0	True	40
Central Biomass Gasification	2025	69641.1	True	40
Central Coal Gasification	2005	1277240.0	True	40
Central Coal Gasification	2005	127724.0	True	40
Central Coal Gasification	2005	1397120.0	True	40
Central Coal Gasification	2005	139712.0	True	40
Central Coal Gasification	2005	2554470.0	True	40
Central Coal Gasification	2005	255447.0	True	40
Central Coal Gasification	2005	2794240.0	True	40
Central Coal Gasification	2005	279424.0	True	40
Central Coal Gasification	2005	27942.4	True	40
Central Coal Gasification	2005	5108940.0	True	40
Central Coal Gasification	2005	510894.0	True	40
Central Coal Gasification	2005	51089.4	True	40
Central Coal Gasification	2005	698561.0	True	40
Central Coal Gasification	2005	69856.1	True	40
Central Coal Gasification	2025	1109150.0	True	40
Central Coal Gasification	2025	110915.0	True	40
Central Coal Gasification	2025	1392820.0	True	40
Central Coal Gasification	2025	139282.0	True	40
Central Coal Gasification	2025	2218300.0	True	40
Central Coal Gasification	2025	221830.0	True	40
Central Coal Gasification	2025	2785650.0	True	40
Central Coal Gasification	2025	278565.0	True	40
Central Coal Gasification	2025	27856.5	True	40
Central Coal Gasification	2025	4436600.0	True	40
Central Coal Gasification	2025	443660.0	True	40
Central Coal Gasification	2025	44366.0	True	40
Central Coal Gasification	2025	696411.0	True	40
Central Coal Gasification	2025	69641.1	True	40
Central Grid Electrolysis	2005	1014620.0	True	40
Central Grid Electrolysis	2005	101462.0	True	40
Central Grid Electrolysis	2005	10146.2	True	40
Central Grid Electrolysis	2005	1277240.0	True	40
Central Grid Electrolysis	2005	127724.0	True	40
Central Grid Electrolysis	2005	1397120.0	True	40
Central Grid Electrolysis	2005	139712.0	True	40
Central Grid Electrolysis	2005	253655.0	True	40
Central Grid Electrolysis	2005	25365.5	True	40
Central Grid Electrolysis	2005	2554470.0	True	40
Central Grid Electrolysis	2005	255447.0	True	40
Central Grid Electrolysis	2005	2794240.0	True	40
Central Grid Electrolysis	2005	279424.0	True	40
Central Grid Electrolysis	2005	27942.4	True	40
Central Grid Electrolysis	2005	507310.0	True	40
Central Grid Electrolysis	2005	50731.0	True	40
Central Grid Electrolysis	2005	5108940.0	True	40
Central Grid Electrolysis	2005	510894.0	True	40
Central Grid Electrolysis	2005	51089.4	True	40
Central Grid Electrolysis	2005	698561.0	True	40
Central Grid Electrolysis	2005	69856.1	True	40
Central Grid Electrolysis	2025	1014620.0	True	40
Central Grid Electrolysis	2025	101462.0	True	40
Central Grid Electrolysis	2025	10146.2	True	40
Central Grid Electrolysis	2025	1109150.0	True	40
Central Grid Electrolysis	2025	110915.0	True	40
Central Grid Electrolysis	2025	1392820.0	True	40
Central Grid Electrolysis	2025	139282.0	True	40
Central Grid Electrolysis	2025	2218300.0	True	40
Central Grid Electrolysis	2025	221830.0	True	40
Central Grid Electrolysis	2025	253655.0	True	40
Central Grid Electrolysis	2025	25365.5	True	40
Central Grid Electrolysis	2025	2785650.0	True	40
Central Grid Electrolysis	2025	278565.0	True	40
Central Grid Electrolysis	2025	27856.5	True	40
Central Grid Electrolysis	2025	4436600.0	True	40
Central Grid Electrolysis	2025	443660.0	True	40
Central Grid Electrolysis	2025	44366.0	True	40
Central Grid Electrolysis	2025	507310.0	True	40
Central Grid Electrolysis	2025	50731.0	True	40
Central Grid Electrolysis	2025	696411.0	True	40
Central Grid Electrolysis	2025	69641.1	True	40
