Region	Vocation	Vehicle	Model Year	Market Share [veh/veh]
1	agricultural	VCC 22601 (DSL T6 Ag)	2010	7.557847243006599e-3
1	agricultural	VCC 22601 (DSL T6 Ag)	2011	1.46237160106707e-3
1	agricultural	VCC 22601 (DSL T6 Ag)	2012	9.137968392688817e-5
1	agricultural	VCC 22601 (DSL T6 Ag)	2013	-9.894998089197635e-19
1	agricultural	VCC 22601 (DSL T6 Ag)	2014	0.0
1	agricultural	VCC 22601 (DSL T6 Ag)	2015	0.0
1	agricultural	VCC 22601 (DSL T6 Ag)	2016	1.7311390659837348e-18
1	agricultural	VCC 22601 (DSL T6 Ag)	2017	0.0
1	agricultural	VCC 22601 (DSL T6 Ag)	2018	0.0
1	agricultural	VCC 22601 (DSL T6 Ag)	2019	-1.0974087973280715e-17
1	agricultural	VCC 22601 (DSL T6 Ag)	2020	7.687655525756538e-19
1	commercial	VCC 21400 (GAS LHD1)	2010	9.51801092872572e-2
1	commercial	VCC 21400 (GAS LHD1)	2011	0.125082792157228
1	commercial	VCC 21400 (GAS LHD1)	2012	0.1984490576490571
1	commercial	VCC 21400 (GAS LHD1)	2013	0.29628329268071685
1	commercial	VCC 21400 (GAS LHD1)	2014	0.29668929668395116
1	commercial	VCC 21400 (GAS LHD1)	2015	0.2977964206539136
1	commercial	VCC 21400 (GAS LHD1)	2016	0.29857016365567024
1	commercial	VCC 21400 (GAS LHD1)	2017	0.29855525369455077
1	commercial	VCC 21400 (GAS LHD1)	2018	0.29886769028777554
1	commercial	VCC 21400 (GAS LHD1)	2019	0.2987705264458718
1	commercial	VCC 21400 (GAS LHD1)	2020	0.29877914694376523
1	commercial	VCC 24724 (NG T7 SWCVng)	2010	1.03212873269073e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2011	1.0441161887824903e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2012	9.913712347627822e-3
1	commercial	VCC 24724 (NG T7 SWCVng)	2013	3.343011499985838e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2014	3.210538508154573e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2015	2.8493383520164173e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2016	2.5968936972869745e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2017	2.6017401633317665e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2018	2.4998101369269467e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2019	2.5315043593017082e-2
1	commercial	VCC 24724 (NG T7 SWCVng)	2020	2.52868859718859e-2
1	industrial	VCC 21400 (GAS LHD1)	2010	6.999431013738099e-2
1	industrial	VCC 21400 (GAS LHD1)	2011	8.29667028578128e-2
1	industrial	VCC 21400 (GAS LHD1)	2012	0.10508459017159104
1	industrial	VCC 21400 (GAS LHD1)	2013	0.12322424150123297
1	industrial	VCC 21400 (GAS LHD1)	2014	0.12339309861597299
1	industrial	VCC 21400 (GAS LHD1)	2015	0.12385355152872078
1	industrial	VCC 21400 (GAS LHD1)	2016	0.12417535128047605
1	industrial	VCC 21400 (GAS LHD1)	2017	0.12416915026228897
1	industrial	VCC 21400 (GAS LHD1)	2018	0.12429909264653588
1	industrial	VCC 21400 (GAS LHD1)	2019	0.12425868221403462
1	industrial	VCC 21400 (GAS LHD1)	2020	0.12426226752250594
1	industrial	VCC 22400 (DSL LHD1)	2010	0.816946446005448
1	industrial	VCC 22400 (DSL LHD1)	2011	0.780046971496067
1	industrial	VCC 22400 (DSL LHD1)	2012	0.6864612601477972
1	industrial	VCC 22400 (DSL LHD1)	2013	0.5470623508181919
1	industrial	VCC 22400 (DSL LHD1)	2014	0.5478122196185302
1	industrial	VCC 22400 (DSL LHD1)	2015	0.5498566442972015
1	industrial	VCC 22400 (DSL LHD1)	2016	0.551285548090984
1	industrial	VCC 22400 (DSL LHD1)	2017	0.5512581944098426
1	industrial	VCC 22400 (DSL LHD1)	2018	0.5518351156964191
1	industrial	VCC 22400 (DSL LHD1)	2019	0.5516557477470765
1	industrial	VCC 22400 (DSL LHD1)	2020	0.5516716995618429
2	agricultural	VCC 22601 (DSL T6 Ag)	2010	3.3427939403436386e-3
2	agricultural	VCC 22601 (DSL T6 Ag)	2011	5.851492677064705e-4
2	agricultural	VCC 22601 (DSL T6 Ag)	2012	2.8150228450426263e-5
2	agricultural	VCC 22601 (DSL T6 Ag)	2013	5.263946661307836e-19
2	agricultural	VCC 22601 (DSL T6 Ag)	2014	-1.728349743946491e-19
2	agricultural	VCC 22601 (DSL T6 Ag)	2015	0.0
2	agricultural	VCC 22601 (DSL T6 Ag)	2016	1.9726940547723389e-19
2	agricultural	VCC 22601 (DSL T6 Ag)	2017	0.0
2	agricultural	VCC 22601 (DSL T6 Ag)	2018	0.0
2	agricultural	VCC 22601 (DSL T6 Ag)	2019	-2.590658975935066e-19
2	agricultural	VCC 22601 (DSL T6 Ag)	2020	0.0
2	commercial	VCC 21400 (GAS LHD1)	2010	0.25018893480833887
2	commercial	VCC 21400 (GAS LHD1)	2011	0.3522400709668987
2	commercial	VCC 21400 (GAS LHD1)	2012	0.3994296200308912
2	commercial	VCC 21400 (GAS LHD1)	2013	0.2963094793087969
2	commercial	VCC 21400 (GAS LHD1)	2014	0.295549338360971
2	commercial	VCC 21400 (GAS LHD1)	2015	0.2966944373632741
2	commercial	VCC 21400 (GAS LHD1)	2016	0.2974664459982277
2	commercial	VCC 21400 (GAS LHD1)	2017	0.29737172171476045
2	commercial	VCC 21400 (GAS LHD1)	2018	0.29769430476257847
2	commercial	VCC 21400 (GAS LHD1)	2019	0.297547359305927
2	commercial	VCC 21400 (GAS LHD1)	2020	0.2975230596445938
2	commercial	VCC 24724 (NG T7 SWCVng)	2010	3.218126504182989e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2011	2.6341907958445276e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2012	4.398354638376531e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2013	3.336906798771154e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2014	3.584882608325217e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2015	3.211324461331301e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2016	2.959477151314484e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2017	2.990378430771597e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2018	2.8851443182194812e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2019	2.9330813348867984e-2
2	commercial	VCC 24724 (NG T7 SWCVng)	2020	2.9410084669095192e-2
2	industrial	VCC 21400 (GAS LHD1)	2010	0.10242470008316096
2	industrial	VCC 21400 (GAS LHD1)	2011	0.1140692384442539
2	industrial	VCC 21400 (GAS LHD1)	2012	0.13783248421894503
2	industrial	VCC 21400 (GAS LHD1)	2013	0.12323513254630036
2	industrial	VCC 21400 (GAS LHD1)	2014	0.12291898983675485
2	industrial	VCC 21400 (GAS LHD1)	2015	0.12339523660853904
2	industrial	VCC 21400 (GAS LHD1)	2016	0.12371631505781214
2	industrial	VCC 21400 (GAS LHD1)	2017	0.12367691921433278
2	industrial	VCC 21400 (GAS LHD1)	2018	0.12381108154163402
2	industrial	VCC 21400 (GAS LHD1)	2019	0.1237499668983721
2	industrial	VCC 21400 (GAS LHD1)	2020	0.12373986068748759
2	industrial	VCC 22400 (DSL LHD1)	2010	0.6118623061263267
2	industrial	VCC 22400 (DSL LHD1)	2011	0.5067636333626956
2	industrial	VCC 22400 (DSL LHD1)	2012	0.4187261991379482
2	industrial	VCC 22400 (DSL LHD1)	2013	0.5470863201571912
2	industrial	VCC 22400 (DSL LHD1)	2014	0.545682845719022
2	industrial	VCC 22400 (DSL LHD1)	2015	0.5477970814148738
2	industrial	VCC 22400 (DSL LHD1)	2016	0.5492224674308153
2	industrial	VCC 22400 (DSL LHD1)	2017	0.5490475747631908
2	industrial	VCC 22400 (DSL LHD1)	2018	0.5496431705135927
2	industrial	VCC 22400 (DSL LHD1)	2019	0.5493718604468328
2	industrial	VCC 22400 (DSL LHD1)	2020	0.5493269949988233
