Vocation	Age [yr]	Annual Travel [mi/yr]
commercial	0	24675.56863
commercial	1	21135.4468
commercial	2	19076.28455
commercial	3	17600.52066
commercial	4	16444.91671
commercial	5	15424.8782
commercial	6	14609.82496
commercial	7	13910.07976
commercial	8	13307.92404
commercial	9	12770.89023
commercial	10	12286.16302
commercial	11	11732.50458
commercial	12	11301.57819
commercial	13	10911.24505
commercial	14	10538.93415
commercial	15	10167.42017
commercial	16	9801.769896
commercial	17	9442.237386
commercial	18	9094.697867
commercial	19	8764.323408
commercial	20	8450.684995
industrial	0	22930.34649
industrial	1	21808.03661
industrial	2	21190.80341
industrial	3	20721.43549
industrial	4	18679.69232
industrial	5	17666.76515
industrial	6	17151.19701
industrial	7	15787.6688
industrial	8	15311.54348
industrial	9	15290.08053
industrial	10	14936.73303
industrial	11	14234.14011
industrial	12	12859.23917
industrial	13	12817.11974
industrial	14	11967.99351
industrial	15	11523.27569
industrial	16	10926.21656
industrial	17	10119.79864
industrial	18	9350.380699
industrial	19	9096.593034
industrial	20	8207.273243
agricultural	0	7143.979077
agricultural	1	6584.38865
agricultural	2	6526.06845
agricultural	3	5998.96704
agricultural	4	5472.295362
agricultural	5	5099.093785
agricultural	6	4768.373273
agricultural	7	4601.191657
agricultural	8	4562.485552
agricultural	9	4444.706892
agricultural	10	4000.377021
agricultural	11	3866.60482
agricultural	12	3602.344966
agricultural	13	3422.402525
agricultural	14	3152.844455
agricultural	15	2855.535556
agricultural	16	2734.593347
agricultural	17	2511.314356
agricultural	18	2431.052515
agricultural	19	2352.180194
agricultural	20	2237.675391
