Vehicle	Model Year	Fuel	Pollutant	Emission Rate [g/gge]
VCC 21400 (GAS LHD1)	2010	GAS	CH4	0.129228132
VCC 21400 (GAS LHD1)	2010	GAS	CO	12.73869234
VCC 21400 (GAS LHD1)	2010	GAS	CO2	8497.524941
VCC 21400 (GAS LHD1)	2010	GAS	HC	2.460041735
VCC 21400 (GAS LHD1)	2010	GAS	NOx	4.796468202
VCC 21400 (GAS LHD1)	2010	GAS	PM	0.882045563
VCC 21400 (GAS LHD1)	2010	GAS	PM10	0.865750313
VCC 21400 (GAS LHD1)	2010	GAS	PM25	0.357915311
VCC 21400 (GAS LHD1)	2010	GAS	ROG	2.463036267
VCC 21400 (GAS LHD1)	2010	GAS	TOG	2.61681287
VCC 21400 (GAS LHD1)	2011	GAS	CH4	0.129770511
VCC 21400 (GAS LHD1)	2011	GAS	CO	12.60681686
VCC 21400 (GAS LHD1)	2011	GAS	CO2	8497.752908
VCC 21400 (GAS LHD1)	2011	GAS	HC	2.430578801
VCC 21400 (GAS LHD1)	2011	GAS	NOx	4.749277396
VCC 21400 (GAS LHD1)	2011	GAS	PM	0.873974234
VCC 21400 (GAS LHD1)	2011	GAS	PM10	0.857694974
VCC 21400 (GAS LHD1)	2011	GAS	PM25	0.355273086
VCC 21400 (GAS LHD1)	2011	GAS	ROG	2.431376138
VCC 21400 (GAS LHD1)	2011	GAS	TOG	2.585658539
VCC 21400 (GAS LHD1)	2012	GAS	CH4	0.128437983
VCC 21400 (GAS LHD1)	2012	GAS	CO	12.62505642
VCC 21400 (GAS LHD1)	2012	GAS	CO2	8497.738648
VCC 21400 (GAS LHD1)	2012	GAS	HC	2.374210775
VCC 21400 (GAS LHD1)	2012	GAS	NOx	4.757827831
VCC 21400 (GAS LHD1)	2012	GAS	PM	0.885370765
VCC 21400 (GAS LHD1)	2012	GAS	PM10	0.868695639
VCC 21400 (GAS LHD1)	2012	GAS	PM25	0.360778641
VCC 21400 (GAS LHD1)	2012	GAS	ROG	2.372548082
VCC 21400 (GAS LHD1)	2012	GAS	TOG	2.525315006
VCC 21400 (GAS LHD1)	2013	GAS	CH4	0.128387718
VCC 21400 (GAS LHD1)	2013	GAS	CO	12.62367453
VCC 21400 (GAS LHD1)	2013	GAS	CO2	8497.739511
VCC 21400 (GAS LHD1)	2013	GAS	HC	2.38270442
VCC 21400 (GAS LHD1)	2013	GAS	NOx	4.770973518
VCC 21400 (GAS LHD1)	2013	GAS	PM	0.887242095
VCC 21400 (GAS LHD1)	2013	GAS	PM10	0.870214314
VCC 21400 (GAS LHD1)	2013	GAS	PM25	0.363050612
VCC 21400 (GAS LHD1)	2013	GAS	ROG	2.381660622
VCC 21400 (GAS LHD1)	2013	GAS	TOG	2.534378083
VCC 21400 (GAS LHD1)	2014	GAS	CH4	0.12870695
VCC 21400 (GAS LHD1)	2014	GAS	CO	12.67830311
VCC 21400 (GAS LHD1)	2014	GAS	CO2	8497.642184
VCC 21400 (GAS LHD1)	2014	GAS	HC	2.390059815
VCC 21400 (GAS LHD1)	2014	GAS	NOx	4.803735526
VCC 21400 (GAS LHD1)	2014	GAS	PM	0.894441388
VCC 21400 (GAS LHD1)	2014	GAS	PM10	0.876903623
VCC 21400 (GAS LHD1)	2014	GAS	PM25	0.367764716
VCC 21400 (GAS LHD1)	2014	GAS	ROG	2.389049137
VCC 21400 (GAS LHD1)	2014	GAS	TOG	2.542163136
VCC 21400 (GAS LHD1)	2015	GAS	CH4	0.129369166
VCC 21400 (GAS LHD1)	2015	GAS	CO	12.76983882
VCC 21400 (GAS LHD1)	2015	GAS	CO2	8497.47848
VCC 21400 (GAS LHD1)	2015	GAS	HC	2.400764427
VCC 21400 (GAS LHD1)	2015	GAS	NOx	4.851905291
VCC 21400 (GAS LHD1)	2015	GAS	PM	0.902829567
VCC 21400 (GAS LHD1)	2015	GAS	PM10	0.884783749
VCC 21400 (GAS LHD1)	2015	GAS	PM25	0.372847421
VCC 21400 (GAS LHD1)	2015	GAS	ROG	2.399568687
VCC 21400 (GAS LHD1)	2015	GAS	TOG	2.553488914
VCC 21400 (GAS LHD1)	2016	GAS	CH4	0.125137105
VCC 21400 (GAS LHD1)	2016	GAS	CO	13.07054817
VCC 21400 (GAS LHD1)	2016	GAS	CO2	8497.100773
VCC 21400 (GAS LHD1)	2016	GAS	HC	2.394805553
VCC 21400 (GAS LHD1)	2016	GAS	NOx	4.717025452
VCC 21400 (GAS LHD1)	2016	GAS	PM	0.924463495
VCC 21400 (GAS LHD1)	2016	GAS	PM10	0.905723078
VCC 21400 (GAS LHD1)	2016	GAS	PM25	0.383028598
VCC 21400 (GAS LHD1)	2016	GAS	ROG	2.398623717
VCC 21400 (GAS LHD1)	2016	GAS	TOG	2.547525788
VCC 21400 (GAS LHD1)	2017	GAS	CH4	0.120761345
VCC 21400 (GAS LHD1)	2017	GAS	CO	13.38814082
VCC 21400 (GAS LHD1)	2017	GAS	CO2	8496.700571
VCC 21400 (GAS LHD1)	2017	GAS	HC	2.384417837
VCC 21400 (GAS LHD1)	2017	GAS	NOx	4.575487705
VCC 21400 (GAS LHD1)	2017	GAS	PM	0.945607608
VCC 21400 (GAS LHD1)	2017	GAS	PM10	0.926289976
VCC 21400 (GAS LHD1)	2017	GAS	PM25	0.392495757
VCC 21400 (GAS LHD1)	2017	GAS	ROG	2.393139998
VCC 21400 (GAS LHD1)	2017	GAS	TOG	2.536850098
VCC 21400 (GAS LHD1)	2018	GAS	CH4	0.115539377
VCC 21400 (GAS LHD1)	2018	GAS	CO	14.02698398
VCC 21400 (GAS LHD1)	2018	GAS	CO2	8495.815928
VCC 21400 (GAS LHD1)	2018	GAS	HC	2.399345662
VCC 21400 (GAS LHD1)	2018	GAS	NOx	4.39994205
VCC 21400 (GAS LHD1)	2018	GAS	PM	0.988333716
VCC 21400 (GAS LHD1)	2018	GAS	PM10	0.968049383
VCC 21400 (GAS LHD1)	2018	GAS	PM25	0.41067643
VCC 21400 (GAS LHD1)	2018	GAS	ROG	2.415837458
VCC 21400 (GAS LHD1)	2018	GAS	TOG	2.553346296
VCC 21400 (GAS LHD1)	2019	GAS	CH4	0.105322171
VCC 21400 (GAS LHD1)	2019	GAS	CO	14.07060293
VCC 21400 (GAS LHD1)	2019	GAS	CO2	8495.984647
VCC 21400 (GAS LHD1)	2019	GAS	HC	2.306722263
VCC 21400 (GAS LHD1)	2019	GAS	NOx	4.029655442
VCC 21400 (GAS LHD1)	2019	GAS	PM	0.988949434
VCC 21400 (GAS LHD1)	2019	GAS	PM10	0.968591187
VCC 21400 (GAS LHD1)	2019	GAS	PM25	0.41122356
VCC 21400 (GAS LHD1)	2019	GAS	ROG	2.330018659
VCC 21400 (GAS LHD1)	2019	GAS	TOG	2.455377723
VCC 21400 (GAS LHD1)	2020	GAS	CH4	0.095151012
VCC 21400 (GAS LHD1)	2020	GAS	CO	14.11545356
VCC 21400 (GAS LHD1)	2020	GAS	CO2	8496.151398
VCC 21400 (GAS LHD1)	2020	GAS	HC	2.210384538
VCC 21400 (GAS LHD1)	2020	GAS	NOx	3.65424285
VCC 21400 (GAS LHD1)	2020	GAS	PM	0.988849145
VCC 21400 (GAS LHD1)	2020	GAS	PM10	0.968494019
VCC 21400 (GAS LHD1)	2020	GAS	PM25	0.411176959
VCC 21400 (GAS LHD1)	2020	GAS	ROG	2.24018472
VCC 21400 (GAS LHD1)	2020	GAS	TOG	2.353444509
VCC 22400 (DSL LHD1)	2010	DSL	CH4	0.089915063
VCC 22400 (DSL LHD1)	2010	DSL	CO	9.41426159
VCC 22400 (DSL LHD1)	2010	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2010	DSL	HC	1.528612622
VCC 22400 (DSL LHD1)	2010	DSL	NOx	5.584642249
VCC 22400 (DSL LHD1)	2010	DSL	PM	2.12798146
VCC 22400 (DSL LHD1)	2010	DSL	PM10	2.094773437
VCC 22400 (DSL LHD1)	2010	DSL	PM25	1.025151246
VCC 22400 (DSL LHD1)	2010	DSL	ROG	1.935818579
VCC 22400 (DSL LHD1)	2010	DSL	TOG	2.203800795
VCC 22400 (DSL LHD1)	2011	DSL	CH4	0.088846528
VCC 22400 (DSL LHD1)	2011	DSL	CO	9.333809912
VCC 22400 (DSL LHD1)	2011	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2011	DSL	HC	1.510446552
VCC 22400 (DSL LHD1)	2011	DSL	NOx	5.58414785
VCC 22400 (DSL LHD1)	2011	DSL	PM	2.132989864
VCC 22400 (DSL LHD1)	2011	DSL	PM10	2.099704235
VCC 22400 (DSL LHD1)	2011	DSL	PM25	1.027589544
VCC 22400 (DSL LHD1)	2011	DSL	ROG	1.912813311
VCC 22400 (DSL LHD1)	2011	DSL	TOG	2.177610813
VCC 22400 (DSL LHD1)	2012	DSL	CH4	0.089563298
VCC 22400 (DSL LHD1)	2012	DSL	CO	9.391676525
VCC 22400 (DSL LHD1)	2012	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2012	DSL	HC	1.522632542
VCC 22400 (DSL LHD1)	2012	DSL	NOx	5.59445442
VCC 22400 (DSL LHD1)	2012	DSL	PM	2.13030267
VCC 22400 (DSL LHD1)	2012	DSL	PM10	2.097061786
VCC 22400 (DSL LHD1)	2012	DSL	PM25	1.026429389
VCC 22400 (DSL LHD1)	2012	DSL	ROG	1.928245546
VCC 22400 (DSL LHD1)	2012	DSL	TOG	2.195179352
VCC 22400 (DSL LHD1)	2013	DSL	CH4	0.075173131
VCC 22400 (DSL LHD1)	2013	DSL	CO	7.898003508
VCC 22400 (DSL LHD1)	2013	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2013	DSL	HC	1.277990367
VCC 22400 (DSL LHD1)	2013	DSL	NOx	5.322650665
VCC 22400 (DSL LHD1)	2013	DSL	PM	2.171041816
VCC 22400 (DSL LHD1)	2013	DSL	PM10	2.13696411
VCC 22400 (DSL LHD1)	2013	DSL	PM25	1.036237332
VCC 22400 (DSL LHD1)	2013	DSL	ROG	1.618433282
VCC 22400 (DSL LHD1)	2013	DSL	TOG	1.842478697
VCC 22400 (DSL LHD1)	2014	DSL	CH4	0.075804958
VCC 22400 (DSL LHD1)	2014	DSL	CO	7.954353788
VCC 22400 (DSL LHD1)	2014	DSL	CO2	11454.35606
VCC 22400 (DSL LHD1)	2014	DSL	HC	1.288731928
VCC 22400 (DSL LHD1)	2014	DSL	NOx	5.37761267
VCC 22400 (DSL LHD1)	2014	DSL	PM	2.195736232
VCC 22400 (DSL LHD1)	2014	DSL	PM10	2.161261401
