Year	Region	Vocation	Vehicle	Fuel	Pollutant	 Emission [g]
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CH4	162.8367651680373
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO	9317.681152768897
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	CO2	3.4922656226308525e7
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	HC	2768.3433125277043
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	NOx	125909.71612948175
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM	4505.789325238114
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM10	4429.324622622281
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	PM25	2102.505440356465
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	ROG	3505.8307167712924
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	TOG	3991.120971512021
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	CH4	15192.628179591415
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	CO	1497616.7589873488
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	CO2	9.990064460222753e8
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	HC	289213.3377439206
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	NOx	563893.9203131046
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM	103697.15996604651
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM10	101781.41862929573
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	PM25	42078.09983514909
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	ROG	289565.3881105381
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	TOG	307644.0426259468
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CH4	298206.3959968652
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO	3162910.897185181
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	CO2	1.6791738273899937e8
