Year	Region	Vocation	Vehicle	Fuel	 Energy [mi]
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	3048.8537244618283
2010	1	commercial	VCC 21400 (GAS LHD1)	GAS	117564.40292421324
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	122085.52064866612
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	29395.744040356603
2010	1	industrial	VCC 21400 (GAS LHD1)	GAS	80340.74019715024
2010	1	industrial	VCC 22400 (DSL LHD1)	DSL	478098.9127830078
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	51.18205650822429
2010	2	commercial	VCC 21400 (GAS LHD1)	GAS	11729.172904934701
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	14447.844226609997
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	3478.7510309480067
2010	2	industrial	VCC 21400 (GAS LHD1)	GAS	4462.183634585533
2010	2	industrial	VCC 22400 (DSL LHD1)	DSL	13590.878015789474
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	3112.6738279464344
2011	1	commercial	VCC 21400 (GAS LHD1)	GAS	185482.461122712
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	132830.97780217414
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	41180.576333082645
2011	1	industrial	VCC 21400 (GAS LHD1)	GAS	128524.80916117708
2011	1	industrial	VCC 22400 (DSL LHD1)	DSL	700303.6867496592
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	476.29280804982517
2011	2	commercial	VCC 21400 (GAS LHD1)	GAS	794184.9421057431
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	252257.67015396268
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	136062.4479262842
2011	2	industrial	VCC 21400 (GAS LHD1)	GAS	240206.59187760152
2011	2	industrial	VCC 22400 (DSL LHD1)	DSL	540331.1363073754
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	3106.3686458096363
2012	1	commercial	VCC 21400 (GAS LHD1)	GAS	630010.936752017
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	443512.9904273251
2012	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	89616.72280495462
2012	1	industrial	VCC 21400 (GAS LHD1)	GAS	352940.4245903079
2012	1	industrial	VCC 22400 (DSL LHD1)	DSL	1434903.89104634
2012	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	460.66301502037743
2012	2	commercial	VCC 21400 (GAS LHD1)	GAS	1607816.4966414154
2012	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	1648579.2824169928
2012	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	351017.4018130294
2012	2	industrial	VCC 21400 (GAS LHD1)	GAS	525728.7911717074
2012	2	industrial	VCC 22400 (DSL LHD1)	DSL	972279.6698494357
2013	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	2848.5821798343313
2013	1	commercial	VCC 21400 (GAS LHD1)	GAS	1187170.28600511
2013	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	517386.9752720578
2013	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	244100.02934079434
2013	1	industrial	VCC 21400 (GAS LHD1)	GAS	584074.3359031416
2013	1	industrial	VCC 22400 (DSL LHD1)	DSL	1912897.5138141322
2013	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	447.1825673520398
2013	2	commercial	VCC 21400 (GAS LHD1)	GAS	1545555.8986565305
2013	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	1439390.81459287
2013	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	341907.92675246095
2013	2	industrial	VCC 21400 (GAS LHD1)	GAS	558115.426020277
2013	2	industrial	VCC 22400 (DSL LHD1)	DSL	1054120.5883634519
2014	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	2579.90723474144
2014	1	commercial	VCC 21400 (GAS LHD1)	GAS	1541967.5162932891
2014	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	548514.3073822565
2014	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	321847.4878539747
2014	1	industrial	VCC 21400 (GAS LHD1)	GAS	747996.7014555963
2014	1	industrial	VCC 22400 (DSL LHD1)	DSL	2226993.0131146642
2014	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	408.1483083852668
2014	2	commercial	VCC 21400 (GAS LHD1)	GAS	1844269.8333264804
2014	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	1379072.3881718046
2014	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	417711.3212096932
2014	2	industrial	VCC 21400 (GAS LHD1)	GAS	713771.6347702502
2014	2	industrial	VCC 22400 (DSL LHD1)	DSL	1398398.687931422
2015	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	2373.8602956892037
2015	1	commercial	VCC 21400 (GAS LHD1)	GAS	1439745.1773705662
2015	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	583657.2544988003
2015	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	298598.72710634494
2015	1	industrial	VCC 21400 (GAS LHD1)	GAS	740383.6566147387
2015	1	industrial	VCC 22400 (DSL LHD1)	DSL	2174577.1052221693
2015	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	369.46521022188267
2015	2	commercial	VCC 21400 (GAS LHD1)	GAS	2244832.1340767173
2015	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	2061702.037185549
2015	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	503111.74929345894
2015	2	industrial	VCC 21400 (GAS LHD1)	GAS	896817.2417128313
2015	2	industrial	VCC 22400 (DSL LHD1)	DSL	1798957.027981975
2016	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	2195.506276009658
2016	1	commercial	VCC 21400 (GAS LHD1)	GAS	1668402.4192391739
2016	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	697966.812399271
2016	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	335706.6532815038
2016	1	industrial	VCC 21400 (GAS LHD1)	GAS	837149.812613111
2016	1	industrial	VCC 22400 (DSL LHD1)	DSL	2340285.919703703
2016	2	agricultural	VCC 22601 (DSL T6 Ag)	DSL	340.5791977094551
2016	2	commercial	VCC 21400 (GAS LHD1)	GAS	2413498.4454425056
2016	2	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	2052358.6452108817
2016	2	commercial	VCC 24724 (NG T7 SWCVng)	NG	533423.7018680146
2016	2	industrial	VCC 21400 (GAS LHD1)	GAS	987630.0602361009
2016	2	industrial	VCC 22400 (DSL LHD1)	DSL	2008788.7669748382
2017	1	agricultural	VCC 22601 (DSL T6 Ag)	DSL	2088.9154735416123
2017	1	commercial	VCC 21400 (GAS LHD1)	GAS	1883949.6650306124
2017	1	commercial	VCC 24724 (NG T7 SWCVng)	ELEC	688193.577310846
2017	1	commercial	VCC 24724 (NG T7 SWCVng)	NG	371146.0672725482
2017	1	industrial	VCC 21400 (GAS LHD1)	GAS	924619.6241842689
2017	1	industrial	VCC 22400 (DSL LHD1)	DSL	2486331.8015284794
