Year	Region	Vocation	Vehicle	Model Year	Sales [veh]	Stock [veh]	 Travel [mi]	 Energy [mi]
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	3.8653997576519803	3.8653997576519803	27614.334992906617	3048.8537244618283
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.8267457600754606	25196.781349076486	2781.9355664482055
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.7884783024747057	24723.868723289732	2729.7220541240686
2013	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.7505935194499584	22499.6869036179	2484.1537640845418
2014	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.713087584255459	20319.111966020933	2243.4000388303075
2015	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.675956708412904	18744.048005797296	2069.49979380804
2016	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.639197141328775	17353.050383890135	1915.9220132328937
2017	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.6028051699154875	16577.19708961161	1830.261315392273
2018	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.5667771182163324	16273.369069066213	1796.716158781634
2019	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.4597738046698425	15377.680474377112	1697.8246407140316
2020	1	agricultural	VCC 22601 (DSL T6 Ag)	2010	0.0	3.355980590529747	13425.18763727721	1482.2530884783464
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.0	0.0	0.0
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.4107929372523702	0.4107929372523702	2934.6961487103067	330.73826149822884
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.4066850078798465	2677.772150009222	301.7831014538361
2013	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.40261815780104804	2627.513657022541	296.11900345062685
2014	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.39859197622303755	2391.1401277704663	269.4798673467449
2015	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.39460605646080715	2159.400892587585	243.3630130349287
2016	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.3906599958961991	1992.0119571224343	224.49839376791778
2017	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.38675339593723707	1844.1845564291082	207.83834617539304
2018	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.3828858619778647	1761.7312337158048	198.54591274205967
2019	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.37905700335808606	1729.4421012056832	194.90694945232465
2020	1	agricultural	VCC 22601 (DSL T6 Ag)	2011	0.0	0.36768529325734345	1634.2533570279556	184.179242675125
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	0.0	0.0	0.0
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	0.0	0.0	0.0
2012	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	8.923390347493981e-2	8.923390347493981e-2	637.4851393840077	74.86349023173149
2013	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.834156444019041e-2	581.6751942232333	68.30941229916296
2014	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.74581487957885e-2	570.7578655516008	67.0273285643874
2015	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.658356730783062e-2	519.4119664852975	60.99748884623491
2016	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.571773163475231e-2	469.0727452660157	55.08586900884672
2017	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.48605543184048e-2	432.7119251166328	50.81581197394643
2018	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.401194877522074e-2	400.60033115240765	47.04476563490701
2019	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.317182928746854e-2	382.6895270149285	44.94139846954174
2020	1	agricultural	VCC 22601 (DSL T6 Ag)	2012	0.0	8.234011099459385e-2	375.67556676291076	44.11770939449903
2010	1	commercial	VCC 21400 (GAS LHD1)	2010	48.679095983672525	48.679095983672525	1201184.3737914688	117564.40292421324
2011	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	48.1923050238358	1018565.8990006543	99690.85043705795
2012	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	47.71038197359744	910136.8225175354	89078.49157317654
2013	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	47.23327815386146	831330.2879865653	81365.40157566353
2014	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	46.76094537232285	768979.8519287093	75262.93142441702
2015	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	46.29333591859962	714069.0680160841	69888.6078271064
2016	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	45.83040255941362	669574.159239369	65533.724848575424
2017	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	45.37209853381949	631129.5094840082	61771.00332743771
2018	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	44.91837754848129	597770.3564152304	58506.01836912594
2019	1	commercial	VCC 21400 (GAS LHD1)	2010	0.0	43.57082622202685	556438.2389119106	54460.68959038609
