Year	Region	Vocation	Vehicle	Sales [veh]	Stock [veh]	 Travel [mi]	 Energy [mi]
2010	1	agricultural	VCC 22601 (DSL T6 Ag)	3.8653997576519803	3.8653997576519803	27614.334992906617	3048.8537244618283
2010	1	commercial	VCC 21400 (GAS LHD1)	48.679095983672525	48.679095983672525	1201184.3737914688	117564.40292421324
2010	1	commercial	VCC 24724 (NG T7 SWCVng)	5.278738806080034	5.278738806080034	130255.88168927217	151481.26468902273
2010	1	industrial	VCC 21400 (GAS LHD1)	35.79802300084855	35.79802300084855	820861.0710664468	80340.74019715024
2010	1	industrial	VCC 22400 (DSL LHD1)	417.82064295174695	417.82064295174695	9580772.113558134	478098.9127830078
2010	2	agricultural	VCC 22601 (DSL T6 Ag)	6.488966893875564e-2	6.488966893875564e-2	463.57043721192707	51.18205650822429
2010	2	commercial	VCC 21400 (GAS LHD1)	4.8566191759292545	4.8566191759292545	119839.83978541638	11729.172904934701
2010	2	commercial	VCC 24724 (NG T7 SWCVng)	0.6246964879863405	0.6246964879863405	15414.741062226916	17926.595257558005
2010	2	industrial	VCC 21400 (GAS LHD1)	1.9882484526893731	1.9882484526893731	45591.2259283737	4462.183634585533
2010	2	industrial	VCC 22400 (DSL LHD1)	11.877352654456285	11.877352654456285	272351.81175060384	13590.878015789474
2011	1	agricultural	VCC 22601 (DSL T6 Ag)	0.4107929372523702	4.237538697327831	28131.477497786793	3112.6738279464344
2011	1	commercial	VCC 21400 (GAS LHD1)	35.136847264061984	83.32915228789778	1885587.5851068436	185482.461122712
2011	1	commercial	VCC 24724 (NG T7 SWCVng)	2.9330134400157677	8.158964858035002	182826.59260675154	174011.5541352568
2011	1	industrial	VCC 21400 (GAS LHD1)	23.306070451748603	58.74611322258867	1307294.0209853924	128524.80916117708
2011	1	industrial	VCC 22400 (DSL LHD1)	219.12199770692123	632.7644342291508	1.4045272730127072e7	700303.6867496592
2011	2	agricultural	VCC 22601 (DSL T6 Ag)	0.5335735580486951	0.5978143302980632	4234.824546406297	476.29280804982517
2011	2	commercial	VCC 21400 (GAS LHD1)	321.19323790628533	326.00129089045527	8027246.133506968	794184.9421057431
2011	2	commercial	VCC 24724 (NG T7 SWCVng)	24.020102785516077	24.638552308622554	605780.9017777585	388320.1180802469
2011	2	industrial	VCC 21400 (GAS LHD1)	104.01504843228658	105.98341440044905	2428027.297822028	240206.59187760152
